,0
0,"  (0, 118)	1.0
  (0, 125)	1.0
  (0, 176)	1.0
  (0, 252)	1.0
  (0, 351)	1.0
  (0, 456)	1.0
  (0, 507)	1.0
  (0, 521)	1.0
  (0, 619)	1.0
  (0, 648)	1.0
  (0, 698)	1.0
  (0, 702)	1.0
  (0, 734)	1.0
  (0, 845)	1.0
  (0, 902)	1.0
  (0, 1205)	1.0
  (0, 1209)	1.0
  (0, 1236)	1.0
  (0, 1352)	1.0
  (0, 1426)	1.0"
1,"  (0, 41)	1.0
  (0, 93)	1.0
  (0, 99)	1.0
  (0, 149)	1.0
  (0, 594)	1.0
  (0, 617)	1.0
  (0, 624)	1.0
  (0, 648)	1.0
  (0, 874)	1.0
  (0, 915)	1.0
  (0, 942)	1.0
  (0, 988)	1.0
  (0, 1004)	1.0
  (0, 1049)	1.0
  (0, 1071)	1.0
  (0, 1170)	1.0
  (0, 1177)	1.0
  (0, 1194)	1.0
  (0, 1292)	1.0
  (0, 1348)	1.0
  (0, 1349)	1.0"
2,"  (0, 44)	1.0
  (0, 122)	1.0
  (0, 135)	1.0
  (0, 153)	1.0
  (0, 364)	1.0
  (0, 396)	1.0
  (0, 402)	1.0
  (0, 474)	1.0
  (0, 507)	1.0
  (0, 619)	1.0
  (0, 661)	1.0
  (0, 699)	1.0
  (0, 701)	1.0
  (0, 828)	1.0
  (0, 1066)	1.0
  (0, 1174)	1.0
  (0, 1175)	1.0
  (0, 1177)	1.0
  (0, 1208)	1.0
  (0, 1209)	1.0
  (0, 1212)	1.0
  (0, 1254)	1.0
  (0, 1381)	1.0"
3,"  (0, 456)	1.0
  (0, 648)	1.0
  (0, 902)	1.0
  (0, 1209)	1.0
  (0, 1273)	1.0"
4,"  (0, 2)	1.0
  (0, 77)	1.0
  (0, 102)	1.0
  (0, 129)	1.0
  (0, 135)	1.0
  (0, 250)	1.0
  (0, 262)	1.0
  (0, 466)	1.0
  (0, 474)	1.0
  (0, 540)	1.0
  (0, 548)	1.0
  (0, 591)	1.0
  (0, 760)	1.0
  (0, 893)	1.0
  (0, 1131)	1.0
  (0, 1177)	1.0
  (0, 1209)	1.0
  (0, 1254)	1.0
  (0, 1317)	1.0
  (0, 1339)	1.0
  (0, 1353)	1.0"
5,"  (0, 25)	1.0
  (0, 31)	1.0
  (0, 234)	1.0
  (0, 607)	1.0
  (0, 627)	1.0
  (0, 633)	1.0
  (0, 673)	1.0
  (0, 855)	1.0
  (0, 920)	1.0
  (0, 973)	1.0
  (0, 979)	1.0
  (0, 1074)	1.0
  (0, 1131)	1.0
  (0, 1209)	1.0
  (0, 1210)	1.0
  (0, 1263)	1.0
  (0, 1301)	1.0
  (0, 1397)	1.0"
6,"  (0, 93)	1.0
  (0, 254)	1.0
  (0, 456)	1.0
  (0, 509)	1.0
  (0, 521)	1.0
  (0, 619)	1.0
  (0, 648)	1.0
  (0, 698)	1.0
  (0, 736)	1.0
  (0, 845)	1.0
  (0, 902)	1.0
  (0, 1151)	1.0
  (0, 1205)	1.0
  (0, 1209)	1.0
  (0, 1273)	1.0
  (0, 1312)	1.0
  (0, 1381)	1.0
  (0, 1389)	1.0
  (0, 1396)	1.0"
7,"  (0, 19)	1.0
  (0, 46)	1.0
  (0, 58)	1.0
  (0, 61)	1.0
  (0, 128)	1.0
  (0, 132)	1.0
  (0, 203)	1.0
  (0, 233)	1.0
  (0, 261)	1.0
  (0, 440)	1.0
  (0, 517)	1.0
  (0, 625)	1.0
  (0, 953)	1.0
  (0, 1170)	1.0
  (0, 1177)	1.0
  (0, 1179)	1.0
  (0, 1202)	1.0
  (0, 1263)	1.0
  (0, 1295)	1.0
  (0, 1331)	1.0
  (0, 1353)	1.0
  (0, 1412)	1.0
  (0, 1414)	1.0"
8,"  (0, 88)	1.0
  (0, 274)	1.0
  (0, 305)	1.0
  (0, 457)	1.0
  (0, 625)	1.0
  (0, 729)	1.0
  (0, 739)	1.0
  (0, 810)	1.0
  (0, 898)	1.0
  (0, 1019)	1.0
  (0, 1144)	1.0
  (0, 1193)	1.0
  (0, 1209)	1.0
  (0, 1316)	1.0
  (0, 1368)	1.0"
9,"  (0, 135)	1.0
  (0, 334)	1.0
  (0, 367)	1.0
  (0, 540)	1.0
  (0, 554)	1.0
  (0, 725)	1.0
  (0, 729)	1.0
  (0, 754)	1.0
  (0, 868)	1.0
  (0, 1011)	1.0
  (0, 1071)	1.0
  (0, 1073)	1.0
  (0, 1159)	1.0
  (0, 1178)	1.0
  (0, 1257)	1.0
  (0, 1366)	1.0
  (0, 1381)	1.0"
10,"  (0, 89)	1.0
  (0, 324)	1.0
  (0, 336)	1.0
  (0, 442)	1.0
  (0, 474)	1.0
  (0, 483)	1.0
  (0, 510)	1.0
  (0, 540)	1.0
  (0, 615)	1.0
  (0, 697)	1.0
  (0, 698)	1.0
  (0, 729)	1.0
  (0, 957)	1.0
  (0, 1177)	1.0
  (0, 1209)	1.0
  (0, 1211)	1.0
  (0, 1232)	1.0
  (0, 1233)	1.0
  (0, 1259)	1.0
  (0, 1263)	1.0
  (0, 1332)	1.0
  (0, 1427)	1.0"
11,"  (0, 19)	1.0
  (0, 140)	1.0
  (0, 351)	1.0
  (0, 368)	1.0
  (0, 464)	1.0
  (0, 756)	1.0
  (0, 774)	1.0
  (0, 834)	1.0
  (0, 860)	1.0
  (0, 986)	1.0
  (0, 1132)	1.0
  (0, 1151)	1.0
  (0, 1171)	1.0
  (0, 1197)	1.0
  (0, 1207)	1.0
  (0, 1267)	1.0
  (0, 1352)	1.0"
12,"  (0, 262)	1.0
  (0, 405)	1.0
  (0, 442)	1.0
  (0, 507)	1.0
  (0, 615)	1.0
  (0, 698)	1.0
  (0, 816)	1.0
  (0, 827)	1.0
  (0, 860)	1.0
  (0, 939)	1.0
  (0, 961)	1.0
  (0, 1022)	1.0
  (0, 1114)	1.0
  (0, 1209)	1.0
  (0, 1211)	1.0
  (0, 1259)	1.0
  (0, 1263)	1.0
  (0, 1328)	1.0"
13,"  (0, 4)	1.0
  (0, 173)	1.0
  (0, 349)	1.0
  (0, 411)	1.0
  (0, 414)	1.0
  (0, 475)	1.0
  (0, 659)	1.0
  (0, 670)	1.0
  (0, 728)	1.0
  (0, 750)	1.0
  (0, 819)	1.0
  (0, 995)	1.0
  (0, 1071)	1.0
  (0, 1075)	1.0
  (0, 1143)	1.0
  (0, 1149)	1.0
  (0, 1172)	1.0
  (0, 1230)	1.0
  (0, 1239)	1.0
  (0, 1242)	1.0
  (0, 1290)	1.0
  (0, 1393)	1.0
  (0, 1407)	1.0"
14,"  (0, 40)	1.0
  (0, 82)	1.0
  (0, 83)	1.0
  (0, 126)	1.0
  (0, 192)	1.0
  (0, 313)	1.0
  (0, 414)	1.0
  (0, 464)	1.0
  (0, 505)	1.0
  (0, 513)	1.0
  (0, 537)	1.0
  (0, 605)	1.0
  (0, 625)	1.0
  (0, 675)	1.0
  (0, 913)	1.0
  (0, 1149)	1.0
  (0, 1170)	1.0
  (0, 1177)	1.0
  (0, 1290)	1.0
  (0, 1299)	1.0
  (0, 1343)	1.0
  (0, 1397)	1.0"
15,"  (0, 19)	1.0
  (0, 47)	1.0
  (0, 136)	1.0
  (0, 138)	1.0
  (0, 176)	1.0
  (0, 300)	1.0
  (0, 456)	1.0
  (0, 507)	1.0
  (0, 538)	1.0
  (0, 612)	1.0
  (0, 711)	1.0
  (0, 755)	1.0
  (0, 774)	1.0
  (0, 808)	1.0
  (0, 979)	1.0
  (0, 1071)	1.0
  (0, 1209)	1.0
  (0, 1263)	1.0
  (0, 1328)	1.0
  (0, 1357)	1.0"
16,"  (0, 184)	1.0
  (0, 187)	1.0
  (0, 211)	1.0
  (0, 338)	1.0
  (0, 495)	1.0
  (0, 507)	1.0
  (0, 581)	1.0
  (0, 725)	1.0
  (0, 763)	1.0
  (0, 813)	1.0
  (0, 906)	1.0
  (0, 1075)	1.0
  (0, 1076)	1.0
  (0, 1104)	1.0
  (0, 1142)	1.0
  (0, 1177)	1.0
  (0, 1207)	1.0
  (0, 1263)	1.0
  (0, 1270)	1.0
  (0, 1274)	1.0
  (0, 1295)	1.0
  (0, 1298)	1.0
  (0, 1303)	1.0
  (0, 1343)	1.0
  (0, 1355)	1.0
  (0, 1381)	1.0"
17,"  (0, 5)	1.0
  (0, 19)	1.0
  (0, 130)	1.0
  (0, 136)	1.0
  (0, 207)	1.0
  (0, 351)	1.0
  (0, 420)	1.0
  (0, 451)	1.0
  (0, 575)	1.0
  (0, 647)	1.0
  (0, 693)	1.0
  (0, 711)	1.0
  (0, 724)	1.0
  (0, 774)	1.0
  (0, 783)	1.0
  (0, 893)	1.0
  (0, 1131)	1.0
  (0, 1174)	1.0
  (0, 1208)	1.0
  (0, 1209)	1.0
  (0, 1254)	1.0
  (0, 1301)	1.0
  (0, 1328)	1.0"
18,"  (0, 19)	1.0
  (0, 299)	1.0
  (0, 310)	1.0
  (0, 368)	1.0
  (0, 495)	1.0
